scientific_name,requested_scientific_name,taxon_id,priority_group,matched_status,role,pre_cap_count,selected_count,held_aside_count,train,val,test,calibration
Prunus serotina,Prunus serotina,usda:PRSE2,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Quercus alba,Quercus alba,usda:QUAL,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Quercus rubra,Quercus rubra,usda:QURU,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Rubus allegheniensis,Rubus allegheniensis,usda:RUAL,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Rubus idaeus,Rubus idaeus,usda:RUID,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Sambucus nigra,Sambucus canadensis,usda:SANIC4,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Solanum dulcamara,Solanum dulcamara,usda:SODU,toxic_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Toxicodendron diversilobum,Toxicodendron diversilobum,usda:TODI,toxic_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Toxicodendron radicans,Toxicodendron radicans,usda:TORA2,toxic_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Toxicodendron vernix,Toxicodendron vernix,usda:TOVE,toxic_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Tsuga canadensis,Tsuga canadensis,usda:TSCA,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Typha angustifolia,Typha angustifolia,usda:TYAN,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Typha latifolia,Typha latifolia,usda:TYLA,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Urtica dioica,Urtica dioica,usda:URDI,medicinal_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Vaccinium angustifolium,Vaccinium angustifolium,usda:VAAN,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Vaccinium corymbosum,Vaccinium corymbosum,usda:VACO,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Zigadenus glaberrimus,Zigadenus glaberrimus,usda:ZIGL,lookalike_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Zigadenus paniculatus,Zigadenus paniculatus,usda:ZIPA2,lookalike_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Zigadenus venenosus,Zigadenus venenosus,usda:ZIVE,lookalike_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
